HTTrack3.49-2+htsswf+htsjava launched on Mon, 23 Feb 2026 10:01:34 at https://mauritius.holidays.io/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" https://mauritius.holidays.io/ -O1 "F:\Mehul\Projects\Hio\website\HIO" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

10:02:26	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/images/favicon.ico (from https://mauritius.holidays.io/)
10:02:36	Error: 	"Not Found" (404) at link https://rawgit.com/LeshikJanz/libraries/master/Bootstrap/baguetteBox.min.css (from https://mauritius.holidays.io/)
10:04:12	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/accommodation_search?Region_a= (from https://mauritius.holidays.io/)
10:04:12	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/accommodation_search?Region_a=1 (from https://mauritius.holidays.io/)
10:04:12	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/accommodation_search?Region_a=2 (from https://mauritius.holidays.io/)
10:04:12	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/accommodation_search?Region_a=3 (from https://mauritius.holidays.io/)
10:04:20	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/accommodation_search?Region_a=4 (from https://mauritius.holidays.io/)
10:04:21	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/accommodation_search?Region_a=5 (from https://mauritius.holidays.io/)
10:04:28	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/tours_search?Region_a= (from https://mauritius.holidays.io/)
10:04:28	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/tours_search?Region_a=1 (from https://mauritius.holidays.io/)
10:04:29	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/tours_search?Region_a=2 (from https://mauritius.holidays.io/)
10:04:30	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/tours_search?Region_a=3 (from https://mauritius.holidays.io/)
10:04:39	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/tours_search?Region_a=4 (from https://mauritius.holidays.io/)
10:04:40	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/tours_search?Region_a=5 (from https://mauritius.holidays.io/)
10:05:01	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/accommodation_search (from https://mauritius.holidays.io/)
10:05:01	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/tours_search (from https://mauritius.holidays.io/)
10:05:03	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/transport_search (from https://mauritius.holidays.io/)
10:05:29	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/traveller/images/favicon.ico (from https://mauritius.holidays.io/traveller/register)
10:05:36	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/travel-info/images/favicon.ico (from https://mauritius.holidays.io/travel-info/the-rainbow-io-mauritius)
10:05:36	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/my/images/favicon.ico (from https://mauritius.holidays.io/my/cart)
10:05:36	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/mauritius-tours/mauritius-tours (from https://mauritius.holidays.io/quad-bike-east)
10:06:22	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/grand-bay-suites/accm_roomrate?ci=23-02-2026&co=25-02-2026&a=2&c=2 (from https://mauritius.holidays.io/grand-bay-suites)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/cdn-cgi/l/email-protection (from https://mauritius.holidays.io/mauritius-shopping)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/quad_biking_at_casela_bird_park.jpg (from https://mauritius.holidays.io/travel-info/activities-tours-and-eco-adventure)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/mauritius_sea_west_activities_03.jpg (from https://mauritius.holidays.io/travel-info/activities-tours-and-eco-adventure)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/01-08-2011_16-14-29.jpg (from https://mauritius.holidays.io/travel-info/activities-tours-and-eco-adventure)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/_1010007.jpg (from https://mauritius.holidays.io/travel-info/activities-tours-and-eco-adventure)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/ote-canyon-mareauxjoncs-01.jpg (from https://mauritius.holidays.io/travel-info/activities-tours-and-eco-adventure)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/domaine_mont_choisy_mauritius_child_riding_horse.jpg (from https://mauritius.holidays.io/travel-info/activities-tours-and-eco-adventure)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/bollywood_theme_wedding_mauritius.jpg (from https://mauritius.holidays.io/travel-info/wedding-in-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/civil_wedding_mauritius.jpg (from https://mauritius.holidays.io/travel-info/wedding-in-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/beach_wedding_mauritius.jpg (from https://mauritius.holidays.io/travel-info/wedding-in-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/religous_wedding_mauritius.jpg (from https://mauritius.holidays.io/travel-info/wedding-in-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/fireworks_for_events_and_weddings_mauritius.jpg (from https://mauritius.holidays.io/travel-info/wedding-in-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/entertainment_for_events_and_weddings_mauritius.jpg (from https://mauritius.holidays.io/travel-info/wedding-in-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/reperes_03_1769.jpg (from https://mauritius.holidays.io/travel-info/endemic-plant-life-on-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/dodo-skeleton_natural_history_museum_london_england.jpg (from https://mauritius.holidays.io/travel-info/endemic-plant-life-on-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/ameenah.jpg (from https://mauritius.holidays.io/travel-info/endemic-plant-life-on-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/brgorges.jpg (from https://mauritius.holidays.io/travel-info/endemic-plant-life-on-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/1.1267792467.lily-pads-pamplemousses-botanical-gardens.jpg (from https://mauritius.holidays.io/travel-info/endemic-plant-life-on-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/ilot_gabriel.jpg (from https://mauritius.holidays.io/travel-info/endemic-plant-life-on-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/bois_de_ronde_erythroxylum_laurifolium.jpg (from https://mauritius.holidays.io/travel-info/endemic-plant-life-on-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/market_of_port_louis_mauritius.jpg (from https://mauritius.holidays.io/travel-info/family-holidays-in-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/bernard_beach_villa.jpg (from https://mauritius.holidays.io/travel-info/family-holidays-in-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/p1010685.jpg (from https://mauritius.holidays.io/travel-info/family-holidays-in-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/800px-bluepenny_museum_port_louis.jpg (from https://mauritius.holidays.io/travel-info/family-holidays-in-mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/sb-spa-021.jpg (from https://mauritius.holidays.io/travel-info/mauritius-spa-hotels-and-resorts)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/shirodhara.jpg (from https://mauritius.holidays.io/travel-info/mauritius-spa-hotels-and-resorts)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/coressences.jpg (from https://mauritius.holidays.io/travel-info/mauritius-spa-hotels-and-resorts)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/index.jpg (from https://mauritius.holidays.io/travel-info/mauritius-spa-hotels-and-resorts)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/1_sea_and_beach.jpg (from https://mauritius.holidays.io/travel-info/flic-en-flac)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/2_main_services.jpg (from https://mauritius.holidays.io/travel-info/flic-en-flac)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/3_other_services.jpg (from https://mauritius.holidays.io/travel-info/flic-en-flac)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/4_activities.jpg (from https://mauritius.holidays.io/travel-info/flic-en-flac)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/5_restaurant.jpg (from https://mauritius.holidays.io/travel-info/flic-en-flac)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/6_fast_food.jpg (from https://mauritius.holidays.io/travel-info/flic-en-flac)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/7_shopping.jpg (from https://mauritius.holidays.io/travel-info/flic-en-flac)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/8_nightclub.jpg (from https://mauritius.holidays.io/travel-info/flic-en-flac)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/colonel_edward_draper.jpg (from https://mauritius.holidays.io/travel-info/horse-racing-in-Mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/horse_racing_in_mauritius.jpg (from https://mauritius.holidays.io/travel-info/horse-racing-in-Mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/champ_de_mars_the_watch.jpg (from https://mauritius.holidays.io/travel-info/horse-racing-in-Mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/web/images/unknow_general/15297.jpg (from https://mauritius.holidays.io/travel-info/horse-racing-in-Mauritius)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/images/04d.png (from https://mauritius.holidays.io/mauritius-weather)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/event/All_Saints_Day (from https://mauritius.holidays.io/mauritius-events)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/event/Arrival_Of_the_Indentured_Labourers (from https://mauritius.holidays.io/mauritius-events)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/event/Christmas (from https://mauritius.holidays.io/mauritius-events)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/event/New_Year (from https://mauritius.holidays.io/mauritius-events)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/event/abolition-of-slavery (from https://mauritius.holidays.io/mauritius-events)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/event/Independence_Day (from https://mauritius.holidays.io/mauritius-events)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/event/Labour-Day (from https://mauritius.holidays.io/mauritius-events)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/event/Father_Laval_Feast_Day (from https://mauritius.holidays.io/mauritius-events)
10:08:35	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/hot_deals.html (from https://mauritius.holidays.io/mauritius-hotel-review)
10:08:35	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/images/uploads/anelia_resort_mauritius_swimming_pool_and_restaurant.jpg (from https://mauritius.holidays.io/mauritius-hotel-review)
10:08:35	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/accommodation_search?Region_a= (from https://mauritius.holidays.io/)
10:08:35	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/accommodation_search?Region_a=1 (from https://mauritius.holidays.io/)
10:08:35	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/accommodation_search?Region_a=2 (from https://mauritius.holidays.io/)
10:08:43	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/accommodation_search?Region_a=3 (from https://mauritius.holidays.io/)
10:08:44	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/accommodation_search?Region_a=4 (from https://mauritius.holidays.io/)
10:08:51	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/accommodation_search?Region_a=5 (from https://mauritius.holidays.io/)
10:08:51	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/tours_search?Region_a= (from https://mauritius.holidays.io/)
10:08:53	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/tours_search?Region_a=1 (from https://mauritius.holidays.io/)
10:08:53	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/tours_search?Region_a=2 (from https://mauritius.holidays.io/)
10:09:01	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/tours_search?Region_a=3 (from https://mauritius.holidays.io/)
10:09:02	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/tours_search?Region_a=4 (from https://mauritius.holidays.io/)
10:09:07	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/tours_search?Region_a=5 (from https://mauritius.holidays.io/)
10:09:24	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/accommodation_search (from https://mauritius.holidays.io/)
10:09:24	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/tours_search (from https://mauritius.holidays.io/)
10:09:24	Warning: 	Retry after error 500 (Internal Server Error) at link https://mauritius.holidays.io/transport_search (from https://mauritius.holidays.io/)
10:09:37	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/admin/media/addimages (from https://mauritius.holidays.io/admin/login)
10:09:37	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/admin/tours/image_delete (from https://mauritius.holidays.io/admin/login)
10:09:39	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/quad-bike-east/images/favicon.ico (from https://mauritius.holidays.io/quad-bike-east/tours_booking?date=23-02-2026&a=2&c=0)
10:09:39	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/quad-bike-east/web/dist/css/lightbox.min.css (from https://mauritius.holidays.io/quad-bike-east/tours_booking?date=23-02-2026&a=2&c=0)
10:09:39	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/submarine-north/images/favicon.ico (from https://mauritius.holidays.io/submarine-north/tours_booking?date=23-02-2026&a=2&c=0)
10:09:39	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/submarine-north/web/dist/css/lightbox.min.css (from https://mauritius.holidays.io/submarine-north/tours_booking?date=23-02-2026&a=2&c=0)
10:09:39	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/sailing-west-coast/images/favicon.ico (from https://mauritius.holidays.io/sailing-west-coast/tours_booking?date=23-02-2026&a=2&c=0)
10:09:39	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/sailing-west-coast/web/dist/css/lightbox.min.css (from https://mauritius.holidays.io/sailing-west-coast/tours_booking?date=23-02-2026&a=2&c=0)
10:09:40	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/canyoning/images/favicon.ico (from https://mauritius.holidays.io/canyoning/tours_booking?date=23-02-2026&a=2&c=0)
10:09:40	Error: 	"Not Found" (404) at link https://mauritius.holidays.io/canyoning/web/dist/css/lightbox.min.css (from https://mauritius.holidays.io/canyoning/tours_booking?date=23-02-2026&a=2&c=0)
